,SEQNOS,TRAIN_NAME_NUMBER,RAILROAD_NAME,TRAIN_TYPE,TRACK_SPEED,TRAIN_SPEED,TRAIN_DIRECTION,NUMBER_LOCOMOTIVES,NUMBER_CARS,NUMBER_DERAILED,NON_COMPLIANCE_WITH_HAZMAT
130,1269080,BE10,NORFOLK SOUTHERN RAILROAD,FREIGHT,,,,1.0,25.0,1.0,U
131,1269082,LNO335-19,KANSAS CITY SOUTHERN RAILWAY,FREIGHT,,,,,,,Y
132,1269104,Q61120,CSX RAILROAD,FREIGHT,,,,3.0,27.0,,N
133,1269132,,CSX RAILROAD,UNKNOWN,,,,,,,U
134,1269160,FXE4038,FERROMEX,LOCOMOTIVE,,,,,,,U
135,1269161,2222 OF THE #4 TRAIN (UTICA TO WOODMONT),NYC TRANSIT (SUBWAY),COMMUTER,,,N,1.0,,,U
136,1269163,2348,NYC TRANSIT (SUBWAY),PASSENGER,,,S,,,,U
137,1269169,MWTSA21,UNION PACIFIC,FREIGHT,,,,3.0,104.0,9.0,N
138,1269174,70221,FLORIDA EAST COAST RR,PASSENGER,79.0,,S,2.0,4.0,0.0,U
139,1269184,Q35021,CSX,FREIGHT,,,,2.0,115.0,0.0,U
140,1269208,702,AMTRAK,PASSENGER,,,S,,,,U
141,1269219,W20719,CSX RAILROAD,FREIGHT,,,,,,,U
142,1269229,UNKNOWN,CSX,FREIGHT,,,N,,,,U
143,1269237,55,NJ TRANSIT RAIL,COMMUTER,50.0,,W,1.0,5.0,,U
144,1269239,2135,METRA,PASSENGER,,,,1.0,3.0,,U
145,1269245,UP8248,UNION PACIFIC RAILROAD,FREIGHT,,,S,,,,U
146,1269251,LIGHT M TRAIN,NYC TRANSIT (SUBWAY),SUBWAY,40.0,,S,,,,U
147,1269258,3863/3704,MBTA,LIGHT RAIL,,,,,,,U
148,1269266,45,NJ TRANSIT,PASSENGER,70.0,,W,1.0,5.0,,U
149,1269306,UNKNOWN,UNKNOWN,RAIL CAR,,,,,,,U
150,1269322,Q13622,CSX RAILROAD,FREIGHT,,,E,2.0,25.0,,U
151,1269333,30,SANTA CLARA VALLEY TRANSPORTATION AUTH,LIGHT RAIL,55.0,,NE,,2.0,,U
152,1269335,LHC02R 22,UNION PACIFIC RAILROAD,FREIGHT,,,W,1.0,51.0,,U
