,SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
1597,1269097,NCC,000000-00-0,,614.0,GALLON(S),SEWAGE,YES,307.0,GALLON(S)
1598,1269098,OSX,000000-00-0,,5.0,BARREL(S),"OIL, FUEL: NO. 6",YES,2.0,BARREL(S)
1599,1269099,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1600,1269100,AMA,007664-41-7,,0.0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1601,1269101,HCL,007647-01-0,,2000.0,GALLON(S),HYDROCHLORIC ACID,NO,,
1602,1269102,MNS,000000-00-0,,15.0,GALLON(S),MINERAL SPIRITS,YES,15.0,GALLON(S)
1603,1269103,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
1604,1269105,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1605,1269106,AMA,007664-41-7,,0.0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1606,1269107,EGL,000107-21-1,,0.0,UNKNOWN AMOUNT,COOLANT,YES,0.0,UNKNOWN AMOUNT
1607,1269108,GAS,000000-00-0,,100.0,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
1608,1269109,BDI,000000-00-0,,0.0,UNKNOWN AMOUNT,"1,3 BUTADIENE",NO,,
1609,1269109,BNZ,000071-43-2,,0.0,UNKNOWN AMOUNT,BENZENE,NO,,
1610,1269109,NTO,000000-00-0,,0.0,UNKNOWN AMOUNT,NITROGEN OXIDES,NO,,
1611,1269109,TOL,000108-88-3,,0.0,UNKNOWN AMOUNT,TOLUENE,NO,,
1612,1269109,XLX,000000-00-0,,0.0,UNKNOWN AMOUNT,"XYLENE (O-, M-, P-, & MIXTURES)",NO,,
1613,1269110,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,DISCHARGE WATER,NO,,
1614,1269110,OIL,000000-00-0,,14.0,BARREL(S),OIL: CRUDE,NO,,
1615,1269112,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1616,1269113,AMA,007664-41-7,,250.0,POUND(S),"AMMONIA, ANHYDROUS",NO,,
1617,1269114,NCC,000000-00-0,,1500.0,POUND(S), PHENYL DIISODECYL PHOSPHITE,YES,0.0,UNKNOWN AMOUNT
1618,1269115,RFG,000000-00-0,,375.0,POUND(S),R507 REFRIGERANT GAS (NON FREON),NO,,
1619,1269118,OHY,000000-00-0,,1.0,PINT(S),HYDRAULIC OIL,YES,1.0,PINT(S)
1620,1269120,ODS,000000-00-0,,45.0,GALLON(S),OIL: DIESEL,NO,,
1621,1269120,OHY,000000-00-0,,0.0,UNKNOWN AMOUNT,HYDRAULIC OIL,NO,,
1622,1269122,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
